customer_id,signup_date,age,gender,location,subscription_type,monthly_price,preferred_category,signup_source,avg_logins_per_month,boxes_opened_per_month,engagement_score,tenure_months,churned,churn_date,last_payment_date,lifetime_value
CUST100018,2024-03-02,22,Male,Chennai,Basic,499,Beauty,Instagram,5.24,0.82,26.7,20,1,2025-05-12,2025-05-12,6692.93
CUST100019,2023-09-30,44,Male,Delhi,Basic,499,Gadgets,Affiliate,1.95,0.87,26.8,25,1,2024-02-12,2024-02-12,1991.56
CUST100020,2024-09-15,29,Male,Bengaluru,Basic,499,Home,Email,4.9,1.65,54.3,14,0,,2025-11-15,6814.3
CUST100021,2023-04-17,34,Female,Pune,Basic,499,Books,Email,2.44,2.08,60.0,31,1,2024-08-22,2024-08-22,8452.63
CUST100022,2023-10-01,23,Male,Hyderabad,Standard,799,Snacks,Email,3.2,1.02,36.2,25,0,,2025-11-15,20433.42
CUST100023,2023-12-22,50,Female,Bengaluru,Standard,799,Home,Email,5.94,0.39,16.7,23,0,,2025-11-15,18824.68
CUST100024,2024-03-29,22,Male,Bengaluru,Standard,799,Fitness,Organic,1.12,0.57,16.1,19,0,,2025-11-15,15873.71
CUST100025,2025-03-24,45,Male,Kolkata,Standard,799,Beauty,Referral,3.37,0.79,22.2,7,0,,2025-11-15,5689.27
CUST100026,2023-06-22,31,Female,Mumbai,Standard,799,Home,Facebook Ads,3.79,0.28,9.8,29,0,,2025-11-15,22913.75
CUST100027,2024-06-01,22,Male,Other,Basic,499,Snacks,Organic,3.94,0.19,4.1,17,1,2025-09-10,2025-09-10,7105.39
CUST100028,2024-08-25,50,Other,Mumbai,Standard,799,Snacks,Facebook Ads,2.19,2.16,66.4,14,0,,2025-11-15,11162.8
CUST100029,2023-01-05,67,Male,Kolkata,Basic,499,Beauty,Email,6.76,1.08,36.9,34,0,,2025-11-15,17306.32
CUST100030,2024-09-11,65,Female,Delhi,Standard,799,Beauty,Facebook Ads,0.67,0.4,13.7,14,0,,2025-11-15,11128.12
CUST100031,2023-05-21,58,Female,Delhi,Basic,499,Home,Instagram,5.63,1.39,53.9,30,0,,2025-11-15,14835.57
CUST100032,2023-01-26,36,Female,Pune,Basic,499,Fitness,Instagram,5.19,0.19,8.2,34,0,,2025-11-15,16581.55
CUST100033,2025-09-20,39,Female,Delhi,Standard,799,Gadgets,Referral,6.42,0.24,16.1,1,0,,2025-11-15,780.48
CUST100034,2025-10-08,22,Female,Hyderabad,Basic,499,Snacks,Referral,0.14,0.42,13.8,1,0,,2025-11-15,538.95
CUST100035,2025-04-19,19,Male,Mumbai,Premium,1199,Beauty,Facebook Ads,1.44,1.89,56.5,7,1,2025-06-10,2025-06-10,1187.24
CUST100036,2023-10-15,47,Male,Mumbai,Premium,1199,Gadgets,Organic,5.69,0.75,25.3,25,0,,2025-11-15,30214.65
CUST100037,2023-03-02,64,Female,Bengaluru,Basic,499,Gadgets,Organic,0.0,0.0,0.0,32,0,,2025-11-15,16382.31
CUST100038,2024-12-04,56,Male,Chennai,Basic,499,Gadgets,Email,0.11,1.63,50.2,11,0,,2025-11-15,5514.52
CUST100039,2024-03-11,21,Male,Mumbai,Standard,799,Fitness,Organic,2.12,0.72,18.0,20,1,2025-04-11,2025-04-11,10403.06
CUST100040,2023-03-29,50,Female,Mumbai,Standard,799,Beauty,Referral,3.35,0.0,0.0,32,0,,2025-11-15,25427.19
CUST100041,2024-05-11,30,Male,Delhi,Basic,499,Snacks,Organic,5.87,0.71,28.1,18,0,,2025-11-15,9081.28
CUST100042,2022-12-23,37,Female,Chennai,Standard,799,Beauty,Email,2.67,1.21,42.5,35,0,,2025-11-15,28050.97
CUST100043,2025-08-07,24,Female,Chennai,Standard,799,Home,Instagram,1.91,1.14,39.1,3,1,2025-10-11,2025-10-11,1469.19
CUST100044,2023-08-26,32,Female,Mumbai,Basic,499,Snacks,Organic,3.56,1.98,62.3,27,0,,2025-11-15,13770.52
CUST100045,2024-11-10,40,Female,Mumbai,Basic,499,Beauty,Organic,3.85,0.39,17.8,12,0,,2025-11-15,5806.85
CUST100046,2023-10-23,31,Male,Other,Standard,799,Snacks,Referral,3.79,0.93,33.7,25,0,,2025-11-15,21112.95
CUST100047,2024-06-07,40,Male,Bengaluru,Basic,499,Home,Facebook Ads,2.68,0.48,20.0,17,0,,2025-11-15,8373.51
CUST100048,2024-07-06,36,Male,Pune,Standard,799,Books,Instagram,0.0,0.0,0.0,16,0,,2025-11-15,12946.96
CUST100049,2023-06-06,46,Male,Pune,Basic,499,Snacks,Facebook Ads,1.35,1.43,38.3,29,0,,2025-11-15,14462.14
CUST100050,2025-10-12,37,Female,Kolkata,Standard,799,Books,Email,5.56,1.18,36.7,1,1,2025-11-12,2025-11-12,779.97
CUST100051,2025-03-13,46,Female,Mumbai,Premium,1199,Gadgets,Email,3.34,1.07,34.0,8,0,,2025-11-15,10142.25
CUST100052,2025-09-09,41,Male,Pune,Premium,1199,Fitness,Facebook Ads,2.42,1.16,34.9,2,0,,2025-11-15,2434.43
CUST100053,2025-07-22,35,Male,Kolkata,Basic,499,Home,Referral,5.01,0.49,8.3,3,0,,2025-11-15,1522.3
CUST100054,2024-08-31,27,Other,Hyderabad,Basic,499,Snacks,Affiliate,0.97,0.3,18.1,14,0,,2025-11-15,6878.74
CUST100055,2025-08-21,58,Male,Bengaluru,Standard,799,Home,Referral,2.59,0.92,27.9,2,0,,2025-11-15,1625.66
CUST100056,2023-02-20,25,Female,Bengaluru,Basic,499,Gadgets,Affiliate,3.25,1.6,50.7,33,0,,2025-11-15,17303.22
CUST100057,2023-06-18,43,Male,Mumbai,Basic,499,Books,Affiliate,2.21,1.86,63.5,29,0,,2025-11-15,14408.13
CUST100058,2023-01-04,46,Female,Delhi,Premium,1199,Fitness,Referral,3.18,1.38,31.5,34,0,,2025-11-15,40350.92
CUST100059,2023-11-07,27,Female,Hyderabad,Basic,499,Home,Affiliate,2.66,0.92,26.6,24,1,2025-03-08,2025-03-08,7885.49
CUST100060,2024-01-15,34,Female,Delhi,Basic,499,Books,Affiliate,0.48,1.06,30.2,22,0,,2025-11-15,10992.39
CUST100061,2023-09-09,19,Female,Delhi,Basic,499,Gadgets,Affiliate,3.33,0.91,27.5,26,0,,2025-11-15,13055.6
CUST100062,2025-05-11,23,Male,Delhi,Standard,799,Gadgets,Instagram,0.61,0.28,8.0,6,1,2025-09-27,2025-09-27,3427.34
CUST100063,2023-12-11,22,Male,Chennai,Standard,799,Gadgets,Email,3.3,0.91,36.7,23,1,2025-10-29,2025-10-29,17853.64
CUST100064,2023-09-19,45,Female,Pune,Basic,499,Books,Affiliate,5.47,0.1,9.6,26,0,,2025-11-15,12085.46
CUST100065,2024-07-02,58,Male,Mumbai,Basic,499,Snacks,Email,2.49,0.83,31.1,16,0,,2025-11-15,8273.99
CUST100066,2023-04-19,22,Female,Delhi,Basic,499,Beauty,Email,0.89,1.88,57.2,31,0,,2025-11-15,15569.79
CUST100067,2025-04-12,35,Female,Mumbai,Standard,799,Home,Instagram,2.77,1.39,36.5,7,0,,2025-11-15,5420.13
CUST100068,2023-02-05,43,Female,Hyderabad,Basic,499,Beauty,Email,1.5,0.35,0.9,33,0,,2025-11-15,16548.46
CUST100069,2025-10-31,37,Female,Chennai,Premium,1199,Gadgets,Facebook Ads,4.07,0.86,20.5,0,1,2025-10-27,2025-10-27,1285.71
CUST100070,2025-03-10,58,Female,Other,Basic,499,Beauty,Organic,2.73,0.4,15.4,8,0,,2025-11-15,3890.37
CUST100071,2023-06-21,66,Female,Bengaluru,Premium,1199,Books,Instagram,6.08,0.86,29.7,29,0,,2025-11-15,33422.24
CUST100072,2022-11-22,44,Male,Other,Basic,499,Gadgets,Organic,5.09,1.52,47.7,36,0,,2025-11-15,18089.58
CUST100073,2025-04-26,66,Male,Mumbai,Standard,799,Gadgets,Facebook Ads,2.72,1.29,38.5,6,0,,2025-11-15,4834.61
CUST100074,2024-12-29,29,Male,Hyderabad,Basic,499,Fitness,Referral,4.29,2.39,84.3,10,0,,2025-11-15,5137.83
CUST100075,2025-01-22,24,Female,Mumbai,Basic,499,Fitness,Referral,2.29,1.62,45.7,9,0,,2025-11-15,4550.46
CUST100076,2025-03-09,20,Male,Pune,Premium,1199,Books,Affiliate,3.06,1.02,37.1,8,0,,2025-11-15,9849.11
CUST100077,2023-02-05,27,Female,Hyderabad,Premium,1199,Books,Referral,2.35,1.31,40.6,33,0,,2025-11-15,37920.68
CUST100078,2023-12-13,51,Male,Chennai,Basic,499,Beauty,Instagram,4.38,0.78,25.7,23,0,,2025-11-15,12080.49
CUST100079,2023-03-22,42,Female,Pune,Standard,799,Home,Referral,5.58,0.22,15.9,32,0,,2025-11-15,26563.03
CUST100080,2025-06-18,52,Male,Mumbai,Standard,799,Beauty,Instagram,4.44,1.68,60.5,5,0,,2025-11-15,3931.58
CUST100081,2024-09-28,33,Female,Mumbai,Premium,1199,Books,Instagram,4.66,1.51,46.8,13,0,,2025-11-15,15218.89
CUST100082,2023-11-13,19,Female,Pune,Basic,499,Home,Organic,4.66,0.76,29.5,24,1,2024-07-01,2024-07-01,3555.7
CUST100083,2023-01-24,41,Male,Bengaluru,Standard,799,Beauty,Referral,3.99,1.06,36.1,34,1,2025-09-30,2025-09-30,25667.02
CUST100084,2023-10-22,27,Male,Mumbai,Standard,799,Snacks,Email,0.95,1.64,49.9,25,0,,2025-11-15,19534.43
CUST100085,2023-11-07,55,Female,Delhi,Basic,499,Snacks,Referral,6.06,1.41,46.9,24,0,,2025-11-15,11606.75
CUST100086,2025-01-22,39,Female,Hyderabad,Premium,1199,Home,Referral,6.25,0.02,1.0,9,0,,2025-11-15,10759.65
CUST100087,2024-10-14,43,Male,Mumbai,Basic,499,Fitness,Referral,2.58,1.05,31.4,13,1,2025-09-15,2025-09-15,5367.15
CUST100088,2025-07-14,60,Other,Bengaluru,Basic,499,Home,Affiliate,2.33,0.8,22.5,4,0,,2025-11-15,1987.97
CUST100089,2024-04-16,56,Female,Mumbai,Standard,799,Beauty,Email,4.1,1.57,54.0,19,0,,2025-11-15,15277.33
CUST100090,2023-03-26,44,Female,Delhi,Standard,799,Gadgets,Email,3.99,1.52,47.5,32,0,,2025-11-15,24906.94
CUST100091,2025-01-05,46,Male,Pune,Basic,499,Snacks,Instagram,2.64,1.69,45.8,10,0,,2025-11-15,4881.76
CUST100092,2025-02-26,64,Male,Other,Basic,499,Gadgets,Email,0.75,0.23,3.7,8,0,,2025-11-15,4125.66
CUST100093,2024-07-22,55,Female,Chennai,Premium,1199,Snacks,Instagram,3.55,0.43,0.0,16,1,2025-06-08,2025-06-08,11660.9
CUST100094,2025-03-09,37,Female,Mumbai,Basic,499,Beauty,Organic,3.99,1.57,47.0,8,0,,2025-11-15,4040.09
CUST100095,2024-05-09,44,Female,Pune,Standard,799,Snacks,Instagram,4.31,0.55,19.1,18,0,,2025-11-15,14978.63
CUST100096,2024-06-10,58,Male,Hyderabad,Standard,799,Home,Referral,3.63,0.0,1.5,17,0,,2025-11-15,13240.48
CUST100097,2024-02-27,37,Male,Mumbai,Basic,499,Gadgets,Facebook Ads,2.51,1.22,48.0,20,0,,2025-11-15,9755.85
CUST100098,2022-12-13,61,Male,Other,Premium,1199,Books,Facebook Ads,4.79,0.57,22.9,35,0,,2025-11-15,42521.79
CUST100099,2023-03-14,36,Male,Kolkata,Standard,799,Gadgets,Affiliate,3.12,1.97,63.7,32,0,,2025-11-15,26006.93
CUST100100,2022-12-20,37,Male,Chennai,Standard,799,Beauty,Referral,2.16,1.08,25.4,35,0,,2025-11-15,27977.83
CUST100101,2024-10-12,52,Male,Chennai,Standard,799,Books,Instagram,2.67,1.0,29.7,13,1,2024-11-27,2024-11-27,798.01
CUST100102,2023-10-26,64,Other,Bengaluru,Standard,799,Gadgets,Referral,0.0,0.68,17.9,25,0,,2025-11-15,19889.98
CUST100103,2024-05-25,19,Male,Bengaluru,Standard,799,Beauty,Affiliate,2.67,1.85,53.3,17,0,,2025-11-15,13199.93
CUST100104,2025-08-05,47,Female,Chennai,Premium,1199,Fitness,Email,4.24,1.12,32.0,3,0,,2025-11-15,3742.27
CUST100105,2023-08-15,51,Female,Bengaluru,Basic,499,Home,Instagram,3.61,0.65,12.8,27,1,2025-03-05,2025-03-05,8936.38
CUST100106,2024-02-08,39,Female,Delhi,Basic,499,Snacks,Referral,5.74,0.42,9.8,21,0,,2025-11-15,10341.89
CUST100107,2025-02-20,20,Male,Kolkata,Basic,499,Snacks,Email,2.53,0.86,31.6,8,0,,2025-11-15,3925.88
CUST100108,2023-07-24,23,Female,Kolkata,Basic,499,Snacks,Affiliate,3.88,0.31,11.0,28,0,,2025-11-15,13695.87
CUST100109,2023-02-08,32,Female,Delhi,Basic,499,Fitness,Email,4.43,1.52,45.6,33,0,,2025-11-15,16281.65
CUST100110,2023-09-29,44,Female,Kolkata,Premium,1199,Home,Instagram,7.22,0.0,4.3,25,0,,2025-11-15,30879.86
CUST100111,2023-05-11,27,Female,Pune,Standard,799,Gadgets,Affiliate,3.26,0.82,32.3,30,1,2024-01-10,2024-01-10,6093.26
CUST100112,2025-08-30,26,Other,Chennai,Standard,799,Gadgets,Affiliate,1.12,1.27,38.7,2,0,,2025-11-15,1592.54
CUST100113,2025-04-18,50,Female,Bengaluru,Standard,799,Home,Affiliate,4.53,1.11,38.6,7,1,2025-07-15,2025-07-15,1698.06
CUST100114,2024-10-09,49,Male,Bengaluru,Standard,799,Books,Organic,6.36,0.47,13.7,13,0,,2025-11-15,10897.86
CUST100115,2025-06-27,65,Female,Bengaluru,Standard,799,Home,Affiliate,2.42,1.3,37.2,4,1,2025-09-22,2025-09-22,1543.24
CUST100116,2025-04-14,23,Male,Mumbai,Premium,1199,Snacks,Organic,4.51,0.37,15.5,7,0,,2025-11-15,8526.7
CUST100117,2023-06-08,58,Female,Bengaluru,Basic,499,Gadgets,Email,5.21,0.89,39.2,29,0,,2025-11-15,15866.89
CUST100118,2025-07-20,53,Male,Bengaluru,Premium,1199,Home,Organic,4.83,1.29,48.8,3,0,,2025-11-15,3632.83
CUST100119,2024-06-28,19,Male,Delhi,Standard,799,Gadgets,Email,3.23,1.18,40.2,16,0,,2025-11-15,12874.34
CUST100120,2025-04-18,46,Female,Pune,Basic,499,Home,Organic,1.74,0.49,16.7,7,0,,2025-11-15,3267.14
CUST100121,2025-07-24,21,Female,Mumbai,Standard,799,Beauty,Email,2.85,1.62,57.3,3,0,,2025-11-15,2427.77
CUST100122,2023-10-30,18,Male,Chennai,Standard,799,Snacks,Email,3.83,0.95,34.8,24,0,,2025-11-15,19273.03
CUST100123,2023-03-16,36,Male,Chennai,Basic,499,Home,Affiliate,4.63,1.35,31.7,32,0,,2025-11-15,15772.83
CUST100124,2023-07-23,43,Female,Mumbai,Standard,799,Fitness,Affiliate,3.6,1.82,51.4,28,0,,2025-11-15,22280.2
CUST100125,2024-02-26,42,Male,Other,Basic,499,Home,Email,2.32,1.57,50.2,20,0,,2025-11-15,9959.61
CUST100126,2025-04-29,27,Female,Hyderabad,Basic,499,Beauty,Affiliate,4.0,1.57,40.6,6,1,2025-09-19,2025-09-19,1965.23
CUST100127,2025-06-15,32,Male,Delhi,Premium,1199,Fitness,Email,4.55,1.02,28.7,5,1,2025-07-28,2025-07-28,1198.46
CUST100128,2022-11-23,39,Female,Kolkata,Standard,799,Fitness,Affiliate,3.68,1.38,40.0,36,0,,2025-11-15,28443.98
CUST100129,2024-05-28,68,Female,Bengaluru,Premium,1199,Home,Facebook Ads,1.49,1.03,30.5,17,0,,2025-11-15,20486.53
CUST100130,2024-02-16,65,Male,Chennai,Standard,799,Beauty,Organic,2.67,0.17,5.4,21,0,,2025-11-15,16575.69
CUST100131,2023-07-17,38,Male,Mumbai,Basic,499,Fitness,Email,4.71,1.08,33.8,28,0,,2025-11-15,14300.38
CUST100132,2023-03-27,39,Male,Pune,Standard,799,Snacks,Referral,0.51,1.05,36.0,32,0,,2025-11-15,25703.58
CUST100133,2023-11-20,53,Female,Delhi,Standard,799,Books,Affiliate,0.0,1.25,36.2,24,0,,2025-11-15,19014.97
CUST100134,2025-09-13,51,Female,Chennai,Premium,1199,Snacks,Affiliate,5.71,0.82,26.2,2,0,,2025-11-15,2259.45
CUST100135,2023-11-04,47,Female,Bengaluru,Basic,499,Gadgets,Instagram,3.92,0.44,8.9,24,0,,2025-11-15,12063.42
CUST100136,2024-06-06,42,Male,Chennai,Premium,1199,Gadgets,Referral,4.09,1.29,46.4,17,0,,2025-11-15,20193.7
CUST100137,2024-12-24,62,Male,Kolkata,Premium,1199,Beauty,Referral,1.06,0.11,0.6,10,1,2025-08-07,2025-08-07,8367.51
CUST100138,2023-12-19,45,Male,Delhi,Standard,799,Fitness,Facebook Ads,4.33,1.78,50.4,23,0,,2025-11-15,19148.79
CUST100139,2025-10-15,18,Male,Hyderabad,Premium,1199,Snacks,Organic,3.5,0.76,26.0,1,0,,2025-11-15,1167.42
CUST100140,2025-10-04,66,Female,Delhi,Basic,499,Snacks,Facebook Ads,0.15,1.05,27.7,1,1,2025-11-10,2025-11-10,527.62
CUST100141,2023-08-18,62,Female,Pune,Premium,1199,Books,Organic,5.56,1.24,37.8,27,0,,2025-11-15,32948.25
CUST100142,2024-05-13,21,Female,Delhi,Standard,799,Beauty,Email,3.29,1.25,40.9,18,0,,2025-11-15,13889.15
CUST100143,2023-10-11,24,Male,Pune,Basic,499,Fitness,Facebook Ads,2.29,0.05,1.4,25,0,,2025-11-15,13164.89
CUST100144,2023-09-23,66,Female,Kolkata,Premium,1199,Beauty,Instagram,2.32,1.39,54.8,26,0,,2025-11-15,30306.46
CUST100145,2022-12-26,26,Female,Delhi,Standard,799,Home,Organic,0.0,1.08,32.1,35,0,,2025-11-15,27739.82
CUST100146,2024-09-13,53,Female,Bengaluru,Standard,799,Snacks,Facebook Ads,4.07,0.52,21.1,14,0,,2025-11-15,11423.22
CUST100147,2024-05-19,36,Female,Delhi,Standard,799,Beauty,Instagram,3.47,0.45,5.9,18,0,,2025-11-15,14708.42
CUST100148,2023-01-11,18,Male,Pune,Basic,499,Beauty,Referral,2.65,0.7,18.3,34,1,2023-10-16,2023-10-16,4548.82
CUST100149,2023-09-17,27,Male,Bengaluru,Standard,799,Books,Affiliate,5.3,0.12,1.4,26,0,,2025-11-15,21427.95
CUST100150,2025-08-06,53,Female,Hyderabad,Standard,799,Home,Email,0.51,1.93,53.5,3,0,,2025-11-15,2370.26
CUST100151,2023-08-05,26,Male,Kolkata,Basic,499,Gadgets,Email,1.93,1.79,57.0,27,0,,2025-11-15,13466.36
CUST100152,2023-04-23,62,Male,Delhi,Basic,499,Snacks,Referral,1.47,1.17,41.2,31,0,,2025-11-15,16183.5
CUST100153,2024-05-04,63,Female,Chennai,Basic,499,Books,Facebook Ads,2.5,0.77,26.2,18,0,,2025-11-15,8636.18
CUST100154,2025-10-30,59,Female,Bengaluru,Basic,499,Beauty,Affiliate,3.12,0.78,24.2,0,0,,2025-11-15,497.71
CUST100155,2023-08-08,49,Female,Mumbai,Standard,799,Snacks,Referral,3.77,1.35,39.8,27,0,,2025-11-15,21007.09
CUST100156,2024-11-20,49,Male,Kolkata,Standard,799,Gadgets,Instagram,2.38,1.95,65.6,12,0,,2025-11-15,10075.69
CUST100157,2025-02-26,23,Male,Mumbai,Premium,1199,Beauty,Affiliate,1.42,0.56,27.9,8,0,,2025-11-15,10284.28
CUST100158,2023-08-03,65,Female,Bengaluru,Standard,799,Home,Organic,6.03,0.23,11.2,27,0,,2025-11-15,21708.83
CUST100159,2025-01-21,55,Other,Pune,Basic,499,Snacks,Facebook Ads,7.34,1.83,64.0,9,0,,2025-11-15,4557.37
CUST100160,2023-12-23,34,Female,Delhi,Premium,1199,Books,Affiliate,3.26,0.0,3.7,23,0,,2025-11-15,27491.2
CUST100161,2024-10-08,27,Female,Other,Standard,799,Home,Organic,1.64,0.29,13.6,13,0,,2025-11-15,10342.64
CUST100162,2024-10-09,67,Female,Other,Standard,799,Gadgets,Referral,5.66,0.75,20.1,13,0,,2025-11-15,10413.04
CUST100163,2024-06-24,44,Female,Bengaluru,Standard,799,Gadgets,Email,0.4,0.0,0.0,16,1,2024-10-31,2024-10-31,2980.44
CUST100164,2023-02-22,67,Male,Mumbai,Premium,1199,Snacks,Affiliate,2.4,1.57,50.4,33,0,,2025-11-15,40077.14
CUST100165,2025-05-18,52,Female,Chennai,Standard,799,Gadgets,Affiliate,1.75,1.41,49.5,6,0,,2025-11-15,5061.57
CUST100166,2023-11-02,69,Female,Delhi,Basic,499,Fitness,Organic,0.91,0.56,13.1,24,1,2023-12-14,2023-12-14,479.98
CUST100167,2023-06-08,38,Female,Mumbai,Standard,799,Books,Organic,2.5,1.67,41.4,29,1,2025-06-17,2025-06-17,19749.14
CUST100168,2022-12-30,42,Female,Chennai,Basic,499,Snacks,Email,1.44,1.77,51.5,35,0,,2025-11-15,16752.6
CUST100169,2024-08-24,45,Female,Mumbai,Basic,499,Fitness,Organic,3.02,0.83,31.8,14,0,,2025-11-15,6730.04
CUST100170,2024-11-26,64,Male,Pune,Basic,499,Gadgets,Organic,3.05,0.63,12.8,11,1,2024-12-29,2024-12-29,477.26
CUST100171,2022-12-04,32,Female,Mumbai,Basic,499,Snacks,Affiliate,1.88,2.26,62.9,35,0,,2025-11-15,17377.56
CUST100172,2024-05-29,21,Male,Mumbai,Basic,499,Fitness,Email,2.33,1.33,42.2,17,0,,2025-11-15,8210.22
CUST100173,2023-07-22,46,Female,Mumbai,Basic,499,Gadgets,Email,2.58,1.05,32.6,28,0,,2025-11-15,14383.82
CUST100174,2024-10-22,26,Male,Other,Standard,799,Beauty,Affiliate,4.46,1.72,57.2,12,0,,2025-11-15,9498.57
CUST100175,2023-05-25,44,Male,Chennai,Standard,799,Beauty,Referral,2.73,1.08,27.9,30,0,,2025-11-15,23569.37
CUST100176,2024-12-11,43,Male,Kolkata,Premium,1199,Home,Referral,4.48,0.6,19.0,11,0,,2025-11-15,13113.84
CUST100177,2024-01-13,36,Female,Delhi,Basic,499,Beauty,Affiliate,4.05,0.95,36.9,22,0,,2025-11-15,10941.93
CUST100178,2025-09-06,45,Male,Bengaluru,Standard,799,Fitness,Organic,4.03,1.52,42.1,2,0,,2025-11-15,1617.43
CUST100179,2023-04-15,34,Male,Bengaluru,Premium,1199,Books,Facebook Ads,5.5,0.0,10.7,31,0,,2025-11-15,37770.16
CUST100180,2023-11-24,60,Female,Delhi,Basic,499,Beauty,Referral,0.99,0.73,17.1,24,1,2024-09-09,2024-09-09,4484.28
CUST100181,2023-03-20,58,Male,Hyderabad,Standard,799,Snacks,Referral,2.15,1.73,57.4,32,0,,2025-11-15,24457.74
CUST100182,2025-08-24,59,Female,Chennai,Standard,799,Snacks,Affiliate,6.17,0.59,19.6,2,0,,2025-11-15,1708.76
CUST100183,2025-07-03,67,Female,Bengaluru,Basic,499,Snacks,Affiliate,2.54,1.83,50.6,4,0,,2025-11-15,1927.73
CUST100184,2023-08-25,37,Female,Other,Premium,1199,Beauty,Facebook Ads,0.0,1.75,50.0,27,0,,2025-11-15,31799.19
CUST100185,2024-11-07,62,Male,Mumbai,Standard,799,Beauty,Facebook Ads,2.63,0.86,30.1,12,0,,2025-11-15,9964.85
CUST100186,2025-04-28,57,Female,Other,Basic,499,Home,Email,3.24,0.56,18.7,6,0,,2025-11-15,3031.29
CUST100187,2024-07-15,56,Male,Mumbai,Basic,499,Books,Affiliate,0.0,0.73,27.4,16,1,2025-01-13,2025-01-13,2923.65
CUST100188,2024-06-17,66,Male,Delhi,Basic,499,Books,Referral,5.4,2.5,85.4,17,1,2024-12-03,2024-12-03,2381.91
CUST100189,2023-08-07,40,Male,Bengaluru,Basic,499,Gadgets,Instagram,1.72,2.02,55.9,27,0,,2025-11-15,13475.84
CUST100190,2023-02-25,64,Female,Delhi,Standard,799,Home,Instagram,3.59,0.98,25.1,33,1,2025-10-08,2025-10-08,23992.97
CUST100191,2025-07-25,49,Male,Hyderabad,Standard,799,Fitness,Organic,2.59,0.54,11.1,3,0,,2025-11-15,2354.59
CUST100192,2025-07-28,69,Female,Delhi,Basic,499,Snacks,Referral,0.68,0.97,25.0,3,1,2025-11-06,2025-11-06,1494.06
CUST100193,2024-10-09,64,Female,Delhi,Premium,1199,Beauty,Instagram,1.07,1.05,37.6,13,1,2025-09-07,2025-09-07,12496.1
CUST100194,2023-11-22,50,Female,Chennai,Basic,499,Gadgets,Referral,1.32,0.15,8.2,24,0,,2025-11-15,11596.98
CUST100195,2023-12-03,63,Male,Chennai,Basic,499,Gadgets,Affiliate,4.95,0.95,28.7,23,1,2024-04-28,2024-04-28,2016.77
CUST100196,2025-01-18,22,Other,Pune,Basic,499,Beauty,Referral,2.73,1.69,52.4,10,0,,2025-11-15,5002.43
CUST100197,2025-07-25,60,Female,Bengaluru,Standard,799,Home,Instagram,2.06,0.0,8.3,3,0,,2025-11-15,2477.41
CUST100198,2025-07-14,65,Female,Hyderabad,Basic,499,Gadgets,Referral,1.32,1.4,52.2,4,1,2025-10-18,2025-10-18,1539.95
